asof,rank,analog_year,distance,cut_date,analog_ytd_return,forward_20d_return,forward_60d_return
2026-09-04,1,2014,0.589294679915233,2014-09-04,0.1784799316823229,-0.033333333333333326,-0.03188405797101457
2026-09-04,2,2024,0.6681613835433264,2024-09-04,0.2694588584136397,0.09868613138686144,0.14131386861313855
2026-09-04,3,2009,0.676889705202686,2009-09-04,0.49269005847953196,0.032321253672869865,0.022526934378060748
2026-09-04,4,2017,0.7366012096917043,2017-09-04,0.15229485396383846,-0.01991550995775493,0.01025950512975271
2026-09-04,5,2023,0.7418165232895587,2023-09-04,0.14446952595936802,-0.02564102564102566,0.036291913214990146
